OBJECTID,ZIPCODE,GIS_ID,WEB_URL,NAME,TYPE,LABEL,ZIP_CODE_TEXT,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
493,20375,ZIP_375,https://www.usps.com/,NAVAL RESEARCH LABRATORY,UNIQUE,20375,20375,{BFD6C6F5-474D-4DC9-9B19-04F432F777F8},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
494,20376,ZIP_376,https://www.usps.com/,NAVAL SEA SYSTEMS COMMAND,UNIQUE,20376,20376,{5E511CBA-4D90-4C0B-B6B6-5C5F6C0C549A},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
495,20388,ZIP_388,https://www.usps.com/,NAVY CRIMINAL INVESTIGATIVE SERVICE,UNIQUE,20388,20388,{8A167D45-C7D9-43E7-A042-A9870CCBE48C},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
496,20390,ZIP_390,https://www.usps.com/,WASHINGTON NAVY YARD,UNIQUE,20390,20390,{FB575F92-3CAA-4A58-9B49-C77CAA9C1D2A},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
497,20223,ZIP_223,https://www.usps.com/, ,UNIQUE,20223,20223,{DD225711-6A3B-4FE2-92F9-88A7396D97F4},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
498,20224,ZIP_224,https://www.usps.com/,INTERNAL REVENUE SERVICE,UNIQUE,20224,20224,{D30AABD4-51EC-4280-93D8-38FB2010AD73},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
499,20226,ZIP_226,https://www.usps.com/,INTERNAL REVENUE SERVICE,UNIQUE,20226,20226,{B3EC7873-2B06-41D2-8418-C0CFAFF9D109},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
500,20226,ZIP_226,https://www.usps.com/,INTERNAL REVENUE SERVICE,UNIQUE,20226,20226,{1A967DF6-BE3B-4DB4-AEF9-592367EB7966},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
501,20227,ZIP_227,https://www.usps.com/,TREASURY FINANCIAL MANAGEMENT SERVICE,UNIQUE,20227,20227,{7BA068DC-3AF2-4B9A-A3A2-ADCFE94E0D2F},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
502,20228,ZIP_228,https://www.usps.com/,BUREAU OF ENGRAVING AND PRINTING,UNIQUE,20228,20228,{FCB80854-032C-4777-AD28-117546079307},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
503,20229,ZIP_229,https://www.usps.com/,U.S. CUSTOMS SERVICE,UNIQUE,20229,20229,{378A7219-F939-48B9-BC6E-F6821EC2BF80},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
504,20230,ZIP_230,https://www.usps.com/,DEPARTMENT OF COMMERCE,UNIQUE,20230,20230,{49BCFDA6-7315-4ACD-ADCE-0C49B9E21D45},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
505,20237,ZIP_237,https://www.usps.com/,BROADCASTING BOARD OF GOVERNORS,UNIQUE,20237,20237,{7A6FC20A-B5C3-4DE6-87B7-55F2B10118F1},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
